course_id,course_name,processing_status,success,csv_file_path,markdown_file_path,error_message,failure_reason
99af424b-846c-4177-8246-d4be02b6de99,0110 New Hire Technical Onboarding - Switching,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_41_43Z_0110_New_Hire_Technical_Onboar.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_41_43Z_0110_New_Hire_Technical_Onboar.md,,
f82ad9a3-ba50-4b2c-b86f-4e9cd5fe3615,3801 Meraki Go Introduction,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_42_03Z_3801_Meraki_Go_Introduction.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_42_03Z_3801_Meraki_Go_Introduction.md,,
763a0ec5-357a-4d92-a95d-2e56135146f3,3802 Meraki Go Configuration and Management,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_42_24Z_3802_Meraki_Go_Configuration_a.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_42_24Z_3802_Meraki_Go_Configuration_a.md,,
b6f728d0-2a9a-452d-be4d-72a9adee6fb1,4716 Wireshark Advanced Deep Dive,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_42_44Z_4716_Wireshark_Advanced_Deep_D.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_42_44Z_4716_Wireshark_Advanced_Deep_D.md,,
0d66f47e-3a84-4817-a7ac-97222ee0fe96,3738 Software Cisco Business Dashboard and Probe version 2.7.1,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_43_04Z_3738_Software_Cisco_Business_D.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_43_04Z_3738_Software_Cisco_Business_D.md,,
0fe92460-e87d-4a0d-9e37-1912f53baa45,3739 Software Cisco Business Mobile App 1.8.0,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_43_24Z_3739_Software_Cisco_Business_M.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_43_24Z_3739_Software_Cisco_Business_M.md,,
9bffbdc5-5557-4106-98f2-f55c237abc67,3740 Software Cisco Business Dashboard and Probe version 2.8.0,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_43_44Z_3740_Software_Cisco_Business_D.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_43_44Z_3740_Software_Cisco_Business_D.md,,
7bc40add-4221-4c70-9421-3a92ea915356,3269 Switch Catalyst 1200/1300 MR 4.1.6,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_38_19Z_3269_Switch_Catalyst_1200_1300.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_38_19Z_3269_Switch_Catalyst_1200_1300.md,,
054d09de-7b13-468d-b785-b448ed5aec1b,3573 Voice DECT Firmware 5.1.3,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_38_39Z_3573_Voice_DECT_Firmware_5_1_3.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_38_39Z_3573_Voice_DECT_Firmware_5_1_3.md,,
385caff3-f456-46e3-9307-4ba562aab03f,3747 Software Cisco Business Dashboard Lite 2.9.0,success,True,C:\Users\jorcleme\projects\netacad\data\csv\GRADEBOOK_DATA_2025-07-17T16_39_00Z_3747_Software_Cisco_Business_D.csv,C:\Users\jorcleme\projects\netacad\data\markdown\GRADEBOOK_DATA_2025-07-17T16_39_00Z_3747_Software_Cisco_Business_D.md,,
